,nb_part,timer_LM_v1,perf_LM_v1,timer_LM_v2,perf_LM_v2,timer_LM_v3,perf_LM_v3,timer_json_v1,perf_json_v1,timer_json_v3,perf_json_v3,timer_var_v1,perf_var_v1,timer_var_v2,perf_var_v2,timer_var_v3,perf_var_v3
0,5,0.21,0.021970074535670393,0.27,0.008946293336659038,3.02,0.016788857638759945,0.2,3.0565717187037382,2.93,3.452161880459952,0.21,0.025608047128622236,0.27,0.014218426245181793,2.69,0.017141509241414176
1,15,0.22,0.0016537189315337208,0.28,0.0035775227968239064,2.81,0.0006608079357804719,0.19,0.6496031114458534,2.68,0.6652688210406108,0.22,0.0017244068814189716,0.28,0.0029266260865498774,2.76,0.0018043008829054408
2,25,0.23,0.0010909474251715955,0.28,0.0017164949184182987,2.86,0.0009040003349915615,0.19,0.6400339687516586,2.74,0.6108750767770063,0.22,0.0013392714286850627,0.28,0.001749734581926976,2.82,0.0011054953184419958
3,35,0.23,0.0003238925559203132,0.29,0.0009999921353086804,2.95,0.0012973116234387128,0.19,0.5046970383644638,2.69,0.2643594429894711,0.23,0.0003746347687624052,0.28,0.0006375832494035727,2.73,0.0005384764238019812
4,45,0.23,0.0004652530415440559,0.29,0.0002635217538074386,2.75,0.000650534421180371,0.19,0.3180311197900051,2.82,0.41178527991709446,0.23,0.000501844454828504,0.28,0.00036320083133078995,2.69,0.0003068187274047673
5,55,0.24,0.0008743162527794724,0.29,0.00019141663914981066,2.92,0.0004835544321748486,0.19,0.2697788961524042,2.74,0.10271567553849933,0.23,0.00014859268070619436,0.29,0.00016902067671802356,2.92,0.00019120791531079817
6,65,0.24,0.00030909261518443645,0.3,0.00017881112245410336,2.86,0.00019577964434454033,0.2,0.19136419491359763,2.85,0.26158895095017043,0.24,9.595454328374942e-05,0.29,8.364562864020542e-05,2.89,0.0002864449400438396
7,75,0.24,6.006613810543016e-05,0.31,0.00019692758946421307,2.75,0.00019588829277781273,0.23,0.10104606263984843,2.81,0.11078607339418482,0.24,0.0001382091544241959,0.3,0.00010413617208495651,2.96,0.00010051254961682688
8,85,0.24,4.188277043493116e-05,0.31,0.00028306289446851097,2.89,4.360948384611874e-05,0.2,0.009577750696737386,2.82,0.19332714884399485,0.24,0.00014964679404885217,0.3,9.795958797864657e-05,2.92,0.00011018952718879759
9,95,0.25,8.90795752619411e-05,0.33,7.664223049230756e-05,2.98,4.129310602571934e-05,0.2,0.017050272351557715,2.69,0.0861433760953176,0.24,0.0001714647052818208,0.31,3.414775150032412e-05,2.69,0.00011971352025845761
10,105,0.25,5.697772004973345e-05,0.31,0.00010253330355878277,2.94,3.5634543118145955e-05,0.2,0.008249965236602907,2.83,0.14979942831526172,0.25,8.453972160520351e-05,0.31,8.817289089684266e-05,2.9,4.8937546993865766e-05
11,115,0.25,7.281700304169192e-05,0.32,3.019299264197528e-05,2.84,0.00011384513289129927,0.2,3.4921973366408567e-07,2.86,0.000910499645344931,0.25,8.634826885973723e-05,0.31,6.488050911137577e-05,2.92,8.7056186773804e-05
12,125,0.25,6.975490404705908e-05,0.32,4.716786532981132e-05,2.83,2.142541470728787e-05,0.2,0.09949822155936819,2.89,0.0020115818524035767,0.25,4.004454219970199e-05,0.31,9.25373660153106e-05,2.95,6.556533993897772e-05
13,135,0.26,4.415527763805827e-05,0.33,4.462114479091284e-05,2.91,6.015732095603355e-05,0.21,1.3987921931857273e-12,2.92,0.0052768368721964444,0.26,6.364474479312321e-05,0.32,1.4149310580791052e-05,2.9,4.244154886858809e-05
14,145,0.26,1.1471948426677869e-05,0.33,1.2365296162286655e-05,2.84,3.671476444511157e-05,0.21,0.017178618018806092,2.86,0.0,0.26,4.728335687067542e-05,0.34,4.66410304400533e-05,2.93,2.6728379836526983e-05
15,155,0.27,5.3253955551735285e-05,0.33,3.761996957063474e-05,2.89,3.951524321523792e-05,0.21,0.04974795526620683,2.91,0.0,0.26,3.8230539519901185e-05,0.33,2.3077371934210335e-05,2.84,2.504270489129823e-05
16,165,0.27,1.12317709028531e-05,0.34,1.4545051719228042e-05,2.71,6.698351933849267e-05,0.21,6.196243518274969e-10,3.09,0.01010966384923595,0.27,3.148894183695461e-05,0.33,3.168622474838401e-05,2.91,4.6511911573610123e-05
17,175,0.27,2.462816674677626e-05,0.34,1.4182897710313113e-05,2.9,3.7712371299569725e-05,0.21,5.261302371550869e-08,3.01,0.04978633242864454,0.27,3.143774911515962e-05,0.33,2.16626745643822e-05,2.94,4.0326865343942586e-05
18,185,0.27,1.670593523028785e-05,0.34,2.1486002589288234e-05,3.05,1.9680570668523244e-05,0.22,0.009834255242388502,2.98,0.06897075206599297,0.27,2.2777847713228995e-05,0.34,2.1571003778397822e-05,2.7,1.2305597415629421e-05
19,195,0.28,1.5843907015966607e-05,0.34,1.1020939052830414e-05,3.03,1.2376321238427579e-05,0.22,0.0,2.95,2.5668898118169634e-10,0.27,9.79236308085163e-06,0.34,2.0635748450548162e-05,2.67,2.311250451532132e-05
